"instrument","field","sample","scale","disposition","note"
"ipipipc","SD","1","BC","source-not-identified","shipped value has no identified published source: the article publishes octant statistics only for Study 1's combined sample (p. 354), which these are not, and the shipped sample (Study 2, n = 274) has no descriptive statistics reported. The 2018 correspondence that supplied it is unrecoverable. Value ships unchanged and the instrument's printed credit says so."
"ipipipc","SD","1","DE","source-not-identified","shipped value has no identified published source: the article publishes octant statistics only for Study 1's combined sample (p. 354), which these are not, and the shipped sample (Study 2, n = 274) has no descriptive statistics reported. The 2018 correspondence that supplied it is unrecoverable. Value ships unchanged and the instrument's printed credit says so."
"ipipipc","SD","1","FG","source-not-identified","shipped value has no identified published source: the article publishes octant statistics only for Study 1's combined sample (p. 354), which these are not, and the shipped sample (Study 2, n = 274) has no descriptive statistics reported. The 2018 correspondence that supplied it is unrecoverable. Value ships unchanged and the instrument's printed credit says so."
"ipipipc","SD","1","HI","source-not-identified","shipped value has no identified published source: the article publishes octant statistics only for Study 1's combined sample (p. 354), which these are not, and the shipped sample (Study 2, n = 274) has no descriptive statistics reported. The 2018 correspondence that supplied it is unrecoverable. Value ships unchanged and the instrument's printed credit says so."
"ipipipc","SD","1","JK","source-not-identified","shipped value has no identified published source: the article publishes octant statistics only for Study 1's combined sample (p. 354), which these are not, and the shipped sample (Study 2, n = 274) has no descriptive statistics reported. The 2018 correspondence that supplied it is unrecoverable. Value ships unchanged and the instrument's printed credit says so."
"ipipipc","SD","1","LM","source-not-identified","shipped value has no identified published source: the article publishes octant statistics only for Study 1's combined sample (p. 354), which these are not, and the shipped sample (Study 2, n = 274) has no descriptive statistics reported. The 2018 correspondence that supplied it is unrecoverable. Value ships unchanged and the instrument's printed credit says so."
"ipipipc","SD","1","NO","source-not-identified","shipped value has no identified published source: the article publishes octant statistics only for Study 1's combined sample (p. 354), which these are not, and the shipped sample (Study 2, n = 274) has no descriptive statistics reported. The 2018 correspondence that supplied it is unrecoverable. Value ships unchanged and the instrument's printed credit says so."
"ipipipc","Population","1","—","intended-deviation","package ships a short standardised population summary; the source description is recorded in the source note"
"isc","Angle","—","PA","not-published-in-source","source publishes no value for this field"
"isc","Angle","—","BC","not-published-in-source","source publishes no value for this field"
"isc","Angle","—","DE","not-published-in-source","source publishes no value for this field"
"isc","Angle","—","FG","not-published-in-source","source publishes no value for this field"
"isc","Angle","—","HI","not-published-in-source","source publishes no value for this field"
"isc","Angle","—","JK","not-published-in-source","source publishes no value for this field"
"isc","Angle","—","LM","not-published-in-source","source publishes no value for this field"
"isc","Angle","—","NO","not-published-in-source","source publishes no value for this field"
"isc","Items","—","PA","not-published-in-source","the article prints no item list, only seven example items"
"isc","Items","—","BC","not-published-in-source","the article prints no item list, only seven example items"
"isc","Items","—","DE","not-published-in-source","the article prints no item list, only seven example items"
"isc","Items","—","FG","not-published-in-source","the article prints no item list, only seven example items"
"isc","Items","—","HI","not-published-in-source","the article prints no item list, only seven example items"
"isc","Items","—","JK","not-published-in-source","the article prints no item list, only seven example items"
"isc","Items","—","LM","not-published-in-source","the article prints no item list, only seven example items"
"isc","Items","—","NO","not-published-in-source","the article prints no item list, only seven example items"
"isc","Population","1","—","intended-deviation","package ships a short standardised population summary; the source description is recorded in the source note"
"cais","Population","1","—","intended-deviation","package ships a short standardised population summary; the source description is recorded in the source note"
"iei","Population","1","—","intended-deviation","package ships a short standardised population summary; the source description is recorded in the source note"
"iei","Population","2","—","intended-deviation","package ships a short standardised population summary; the source description is recorded in the source note"
"igicr","Population","1","—","intended-deviation","package ships a short standardised population summary; the source description is recorded in the source note"
"igicr","Population","2","—","intended-deviation","package ships a short standardised population summary; the source description is recorded in the source note"
"igicr","Population","3","—","intended-deviation","package ships a short standardised population summary; the source description is recorded in the source note"
"iipsc","Population","1","—","intended-deviation","package ships a short standardised population summary; the source description is recorded in the source note"
"iipsc","Population","2","—","intended-deviation","package ships a short standardised population summary; the source description is recorded in the source note"
"cais","URL","1","—","not-published-in-source","sodano2006 prints no DOI or URL anywhere; the shipped DOI follows the Erlbaum scheme and matches the printed volume, issue and article position, but the article itself publishes no such string"
"iipsc","URL","2","—","not-published-in-source","soldz1995 (1995) prints no DOI or URL; the shipped SAGE DOI was assigned later and is consistent with the printed volume 2, number 1"
"iei","Angle","—","PA","not-published-in-source","source publishes 45-degree segment widths and degree-range hypotheses, not an assigned degree per octant (IP2)"
"iei","Angle","—","BC","not-published-in-source","source publishes 45-degree segment widths and degree-range hypotheses, not an assigned degree per octant (IP2)"
"iei","Angle","—","DE","not-published-in-source","source publishes 45-degree segment widths and degree-range hypotheses, not an assigned degree per octant (IP2)"
"iei","Angle","—","FG","not-published-in-source","source publishes 45-degree segment widths and degree-range hypotheses, not an assigned degree per octant (IP2)"
"iei","Angle","—","HI","not-published-in-source","source publishes 45-degree segment widths and degree-range hypotheses, not an assigned degree per octant (IP2)"
"iei","Angle","—","JK","not-published-in-source","source publishes 45-degree segment widths and degree-range hypotheses, not an assigned degree per octant (IP2)"
"iei","Angle","—","LM","not-published-in-source","source publishes 45-degree segment widths and degree-range hypotheses, not an assigned degree per octant (IP2)"
"iei","Angle","—","NO","not-published-in-source","source publishes 45-degree segment widths and degree-range hypotheses, not an assigned degree per octant (IP2)"
"iei","Items","—","PA","not-published-in-source","the 64 items are detailed in Supplemental Table S2, which is not part of the article; Table 1 prints one example item per octant"
"iei","Items","—","BC","not-published-in-source","the 64 items are detailed in Supplemental Table S2, which is not part of the article; Table 1 prints one example item per octant"
"iei","Items","—","DE","not-published-in-source","the 64 items are detailed in Supplemental Table S2, which is not part of the article; Table 1 prints one example item per octant"
"iei","Items","—","FG","not-published-in-source","the 64 items are detailed in Supplemental Table S2, which is not part of the article; Table 1 prints one example item per octant"
"iei","Items","—","HI","not-published-in-source","the 64 items are detailed in Supplemental Table S2, which is not part of the article; Table 1 prints one example item per octant"
"iei","Items","—","JK","not-published-in-source","the 64 items are detailed in Supplemental Table S2, which is not part of the article; Table 1 prints one example item per octant"
"iei","Items","—","LM","not-published-in-source","the 64 items are detailed in Supplemental Table S2, which is not part of the article; Table 1 prints one example item per octant"
"iei","Items","—","NO","not-published-in-source","the 64 items are detailed in Supplemental Table S2, which is not part of the article; Table 1 prints one example item per octant"
"iipsc","Angle","—","PA","not-published-in-source","soldz1995 reports angular deviations from expected locations, which are estimates, not an assigned degree convention (IP2)"
"iipsc","Angle","—","BC","not-published-in-source","soldz1995 reports angular deviations from expected locations, which are estimates, not an assigned degree convention (IP2)"
"iipsc","Angle","—","DE","not-published-in-source","soldz1995 reports angular deviations from expected locations, which are estimates, not an assigned degree convention (IP2)"
"iipsc","Angle","—","FG","not-published-in-source","soldz1995 reports angular deviations from expected locations, which are estimates, not an assigned degree convention (IP2)"
"iipsc","Angle","—","HI","not-published-in-source","soldz1995 reports angular deviations from expected locations, which are estimates, not an assigned degree convention (IP2)"
"iipsc","Angle","—","JK","not-published-in-source","soldz1995 reports angular deviations from expected locations, which are estimates, not an assigned degree convention (IP2)"
"iipsc","Angle","—","LM","not-published-in-source","soldz1995 reports angular deviations from expected locations, which are estimates, not an assigned degree convention (IP2)"
"iipsc","Angle","—","NO","not-published-in-source","soldz1995 reports angular deviations from expected locations, which are estimates, not an assigned degree convention (IP2)"
"iip32","Population","1","—","intended-deviation","package ships a short standardised population summary; the source description is recorded in the source note"
"iip32","URL","1","—","not-published-in-source","the manual prints only www.mindgarden.com in its copyright line (p. 1); the shipped value is the publisher's product page for the instrument, which no page of the manual gives"
"iip32","Population","2","—","intended-deviation","package ships a short standardised population summary; the source description is recorded in the source note"
"iip32","URL","2","—","not-published-in-source","the manual prints only www.mindgarden.com in its copyright line (p. 1); the shipped value is the publisher's product page for the instrument, which no page of the manual gives"
"iip32","Population","3","—","intended-deviation","package ships a short standardised population summary; the source description is recorded in the source note"
"iip32","URL","3","—","not-published-in-source","the manual prints only www.mindgarden.com in its copyright line (p. 1); the shipped value is the publisher's product page for the instrument, which no page of the manual gives"
"iip32","Angle","—","PA","not-published-in-source","source publishes no value for this field"
"iip32","Angle","—","BC","not-published-in-source","source publishes no value for this field"
"iip32","Angle","—","DE","not-published-in-source","source publishes no value for this field"
"iip32","Angle","—","FG","not-published-in-source","source publishes no value for this field"
"iip32","Angle","—","HI","not-published-in-source","source publishes no value for this field"
"iip32","Angle","—","JK","not-published-in-source","source publishes no value for this field"
"iip32","Angle","—","LM","not-published-in-source","source publishes no value for this field"
"iip32","Angle","—","NO","not-published-in-source","source publishes no value for this field"
"iip64","Population","1","—","intended-deviation","package ships a short standardised population summary; the source description is recorded in the source note"
"iip64","URL","1","—","not-published-in-source","the manual prints only www.mindgarden.com in its copyright line (p. 1); the shipped value is the publisher's product page for the instrument, which no page of the manual gives"
"iip64","Population","2","—","intended-deviation","package ships a short standardised population summary; the source description is recorded in the source note"
"iip64","URL","2","—","not-published-in-source","the manual prints only www.mindgarden.com in its copyright line (p. 1); the shipped value is the publisher's product page for the instrument, which no page of the manual gives"
"iip64","Population","3","—","intended-deviation","package ships a short standardised population summary; the source description is recorded in the source note"
"iip64","URL","3","—","not-published-in-source","the manual prints only www.mindgarden.com in its copyright line (p. 1); the shipped value is the publisher's product page for the instrument, which no page of the manual gives"
"iip64","Angle","—","PA","not-published-in-source","source publishes no value for this field"
"iip64","Angle","—","BC","not-published-in-source","source publishes no value for this field"
"iip64","Angle","—","DE","not-published-in-source","source publishes no value for this field"
"iip64","Angle","—","FG","not-published-in-source","source publishes no value for this field"
"iip64","Angle","—","HI","not-published-in-source","source publishes no value for this field"
"iip64","Angle","—","JK","not-published-in-source","source publishes no value for this field"
"iip64","Angle","—","LM","not-published-in-source","source publishes no value for this field"
"iip64","Angle","—","NO","not-published-in-source","source publishes no value for this field"
