"instrument","field","sample","scale","shipped","source","anchor","kind","disposition","generated","script_commit","data_commit"
"csig","Angle","—","FG","225","not-published-in-source","not published — Figure 2 shows octant arrangement without degrees; degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"csig","Angle","—","HI","270","not-published-in-source","not published — Figure 2 shows octant arrangement without degrees; degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"csig","Angle","—","JK","315","not-published-in-source","not published — Figure 2 shows octant arrangement without degrees; degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"csig","Angle","—","LM","360","not-published-in-source","not published — Figure 2 shows octant arrangement without degrees; degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"csig","Angle","—","NO","45","not-published-in-source","not published — Figure 2 shows octant arrangement without degrees; degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"csip","Population","1","—","American college students","undergraduate students enrolled at a public university in the western United States","p. 597 text, validation-sample description","mismatch","intended-deviation","2026-08-07","efac537c","efac537c"
"csip","Angle","—","PA","90","not-published-in-source","not published — degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"csip","Angle","—","BC","135","not-published-in-source","not published — degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"csip","Angle","—","DE","180","not-published-in-source","not published — degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"csip","Angle","—","FG","225","not-published-in-source","not published — degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"csip","Angle","—","HI","270","not-published-in-source","not published — degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"csip","Angle","—","JK","315","not-published-in-source","not published — degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"csip","Angle","—","LM","360","not-published-in-source","not published — degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"csip","Angle","—","NO","45","not-published-in-source","not published — degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"csip","Items","—","PA","1, 9, 17, 25, 33, 41, 49, 57","not-published-in-source","not published in the article — items described but not numbered","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"csip","Items","—","BC","2, 10, 18, 26, 34, 42, 50, 58","not-published-in-source","not published in the article — items described but not numbered","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"csip","Items","—","DE","3, 11, 19, 27, 35, 43, 51, 59","not-published-in-source","not published in the article — items described but not numbered","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"csip","Items","—","FG","4, 12, 20, 28, 36, 44, 52, 60","not-published-in-source","not published in the article — items described but not numbered","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"csip","Items","—","HI","5, 13, 21, 29, 37, 45, 53, 61","not-published-in-source","not published in the article — items described but not numbered","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"csip","Items","—","JK","6, 14, 22, 30, 38, 46, 54, 62","not-published-in-source","not published in the article — items described but not numbered","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"csip","Items","—","LM","7, 15, 23, 31, 39, 47, 55, 63","not-published-in-source","not published in the article — items described but not numbered","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"csip","Items","—","NO","8, 16, 24, 32, 40, 48, 56, 64","not-published-in-source","not published in the article — items described but not numbered","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"csiv","Population","1","—","American college students","University of Idaho undergraduates, late 1990s and early 2000s","CSIV_Norms.html sample description (retrieved 2026-08-06)","mismatch","intended-deviation","2026-08-07","efac537c","efac537c"
"iitc","Population","1","—","American college students","undergraduate students from a psychology department subject pool","p. 3 text, 'Of the 885 undergraduate student participants' / 'psychology department subject pool'","mismatch","intended-deviation","2026-08-07","efac537c","efac537c"
"iitc","Angle","—","PA","90","not-published-in-source","not published — degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iitc","Angle","—","BC","135","not-published-in-source","not published — degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iitc","Angle","—","DE","180","not-published-in-source","not published — degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iitc","Angle","—","FG","225","not-published-in-source","not published — degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iitc","Angle","—","HI","270","not-published-in-source","not published — degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iitc","Angle","—","JK","315","not-published-in-source","not published — degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iitc","Angle","—","LM","360","not-published-in-source","not published — degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iitc","Angle","—","NO","45","not-published-in-source","not published — degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iitc","Items","—","PA","1, 9, 17, 25, 33, 41, 49, 57","not-published-in-source","not published in the article — items are in an online appendix (p. 5 text)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iitc","Items","—","BC","2, 10, 18, 26, 34, 42, 50, 58","not-published-in-source","not published in the article — items are in an online appendix (p. 5 text)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iitc","Items","—","DE","3, 11, 19, 27, 35, 43, 51, 59","not-published-in-source","not published in the article — items are in an online appendix (p. 5 text)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iitc","Items","—","FG","4, 12, 20, 28, 36, 44, 52, 60","not-published-in-source","not published in the article — items are in an online appendix (p. 5 text)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iitc","Items","—","HI","5, 13, 21, 29, 37, 45, 53, 61","not-published-in-source","not published in the article — items are in an online appendix (p. 5 text)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iitc","Items","—","JK","6, 14, 22, 30, 38, 46, 54, 62","not-published-in-source","not published in the article — items are in an online appendix (p. 5 text)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iitc","Items","—","LM","7, 15, 23, 31, 39, 47, 55, 63","not-published-in-source","not published in the article — items are in an online appendix (p. 5 text)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iitc","Items","—","NO","8, 16, 24, 32, 40, 48, 56, 64","not-published-in-source","not published in the article — items are in an online appendix (p. 5 text)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iis32","M","1","PA","4.25","not-published-in-source","no descriptive-statistics table exists in the article; see the Finding above for the sweep","not-published","source-not-identified","2026-08-07","efac537c","efac537c"
"iis32","M","1","BC","4.02","not-published-in-source","no descriptive-statistics table exists in the article; see the Finding above for the sweep","not-published","source-not-identified","2026-08-07","efac537c","efac537c"
"iis32","M","1","DE","4.26","not-published-in-source","no descriptive-statistics table exists in the article; see the Finding above for the sweep","not-published","source-not-identified","2026-08-07","efac537c","efac537c"
"iis32","M","1","FG","4.29","not-published-in-source","no descriptive-statistics table exists in the article; see the Finding above for the sweep","not-published","source-not-identified","2026-08-07","efac537c","efac537c"
"iis32","M","1","HI","4.66","not-published-in-source","no descriptive-statistics table exists in the article; see the Finding above for the sweep","not-published","source-not-identified","2026-08-07","efac537c","efac537c"
"iis32","M","1","JK","4.65","not-published-in-source","no descriptive-statistics table exists in the article; see the Finding above for the sweep","not-published","source-not-identified","2026-08-07","efac537c","efac537c"
"iis32","M","1","LM","4.42","not-published-in-source","no descriptive-statistics table exists in the article; see the Finding above for the sweep","not-published","source-not-identified","2026-08-07","efac537c","efac537c"
"iis32","M","1","NO","4.09","not-published-in-source","no descriptive-statistics table exists in the article; see the Finding above for the sweep","not-published","source-not-identified","2026-08-07","efac537c","efac537c"
"iis32","SD","1","PA","0.99","not-published-in-source","no descriptive-statistics table exists in the article; see the Finding above for the sweep","not-published","source-not-identified","2026-08-07","efac537c","efac537c"
"iis32","SD","1","BC","0.94","not-published-in-source","no descriptive-statistics table exists in the article; see the Finding above for the sweep","not-published","source-not-identified","2026-08-07","efac537c","efac537c"
"iis32","SD","1","DE","0.82","not-published-in-source","no descriptive-statistics table exists in the article; see the Finding above for the sweep","not-published","source-not-identified","2026-08-07","efac537c","efac537c"
"iis32","SD","1","FG","0.88","not-published-in-source","no descriptive-statistics table exists in the article; see the Finding above for the sweep","not-published","source-not-identified","2026-08-07","efac537c","efac537c"
"iis32","SD","1","HI","0.86","not-published-in-source","no descriptive-statistics table exists in the article; see the Finding above for the sweep","not-published","source-not-identified","2026-08-07","efac537c","efac537c"
"iis32","SD","1","JK","0.96","not-published-in-source","no descriptive-statistics table exists in the article; see the Finding above for the sweep","not-published","source-not-identified","2026-08-07","efac537c","efac537c"
"iis32","SD","1","LM","0.87","not-published-in-source","no descriptive-statistics table exists in the article; see the Finding above for the sweep","not-published","source-not-identified","2026-08-07","efac537c","efac537c"
"iis32","SD","1","NO","0.99","not-published-in-source","no descriptive-statistics table exists in the article; see the Finding above for the sweep","not-published","source-not-identified","2026-08-07","efac537c","efac537c"
"iis32","Size","1","—","1380","not-published-in-source","the shipped 1380 appears nowhere in the article; its samples are 1,377 / 956 / 497 per Table 2, p. 641, and the Finding above records the sweep","not-published","source-not-identified","2026-08-07","efac537c","efac537c"
"iis32","Population","1","—","American college students","not-published-in-source","the shipped norm sample is unidentified, so the article describes no population for it; its development sample is described on p. 640","not-published","source-not-identified","2026-08-07","efac537c","efac537c"
"iis32","Angle","—","PA","90","not-published-in-source","Table 3, p. 642 publishes CIRCUM estimates (Lead 87 deg, development sample) with Connect fixed at 0 deg, not assigned degrees — degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iis32","Angle","—","BC","135","not-published-in-source","Table 3, p. 642 publishes CIRCUM estimates (Direct 133 deg, development sample) with Connect fixed at 0 deg, not assigned degrees — degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iis32","Angle","—","DE","180","not-published-in-source","Table 3, p. 642 publishes CIRCUM estimates (Balance 183 deg, development sample) with Connect fixed at 0 deg, not assigned degrees — degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iis32","Angle","—","FG","225","not-published-in-source","Table 3, p. 642 publishes CIRCUM estimates (Restrain 230 deg, development sample) with Connect fixed at 0 deg, not assigned degrees — degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iis32","Angle","—","HI","270","not-published-in-source","Table 3, p. 642 publishes CIRCUM estimates (Cooperate 273 deg, development sample) with Connect fixed at 0 deg, not assigned degrees — degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iis32","Angle","—","JK","315","not-published-in-source","Table 3, p. 642 publishes CIRCUM estimates (Consider 314 deg, development sample) with Connect fixed at 0 deg, not assigned degrees — degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iis32","Angle","—","LM","360","not-published-in-source","Table 3, p. 642 fixes Connect at 0 deg as the CIRCUM reference, not as an assigned degree — degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iis32","Angle","—","NO","45","not-published-in-source","Table 3, p. 642 publishes CIRCUM estimates (Engage 41 deg, development sample) with Connect fixed at 0 deg, not assigned degrees — degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iis64","Population","1","—","American college students","undergraduates from a large Midwestern university (265) and a medium-sized Southern university (419)","p. 558, Study 3 Participants paragraph","mismatch","intended-deviation","2026-08-07","efac537c","efac537c"
"iis64","Angle","—","PA","90","not-published-in-source","p. 558 publishes CIRCUM estimates (Lead 86 deg) with Connect fixed at 0 deg, not assigned degrees — degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iis64","Angle","—","BC","135","not-published-in-source","p. 558 publishes CIRCUM estimates (Direct 127 deg) with Connect fixed at 0 deg, not assigned degrees — degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iis64","Angle","—","DE","180","not-published-in-source","p. 558 publishes CIRCUM estimates (Balance 177 deg) with Connect fixed at 0 deg, not assigned degrees — degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iis64","Angle","—","FG","225","not-published-in-source","p. 558 publishes CIRCUM estimates (Restrain 233 deg) with Connect fixed at 0 deg, not assigned degrees — degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iis64","Angle","—","HI","270","not-published-in-source","p. 558 publishes CIRCUM estimates (Cooperate 268 deg) with Connect fixed at 0 deg, not assigned degrees — degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iis64","Angle","—","JK","315","not-published-in-source","p. 558 publishes CIRCUM estimates (Consider 307 deg) with Connect fixed at 0 deg, not assigned degrees — degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iis64","Angle","—","LM","360","not-published-in-source","p. 558 fixes Connect at 0 deg as the CIRCUM reference, not as an assigned degree — degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iis64","Angle","—","NO","45","not-published-in-source","p. 558 publishes CIRCUM estimates (Engage 43 deg) with Connect fixed at 0 deg, not assigned degrees — degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"ipipipc","M","1","PA","2.66","not-published-in-source","Study 2 (the shipped sample) publishes no descriptive statistics; the only octant M in the article is Study 1's, p. 354 — see the Finding above","not-published","source-not-identified","2026-08-07","efac537c","efac537c"
"ipipipc","M","1","BC","2.27","not-published-in-source","Study 2 (the shipped sample) publishes no descriptive statistics; the only octant M in the article is Study 1's, p. 354 — see the Finding above","not-published","source-not-identified","2026-08-07","efac537c","efac537c"
"ipipipc","M","1","DE","2.46","not-published-in-source","Study 2 (the shipped sample) publishes no descriptive statistics; the only octant M in the article is Study 1's, p. 354 — see the Finding above","not-published","source-not-identified","2026-08-07","efac537c","efac537c"
"ipipipc","M","1","FG","2.68","not-published-in-source","Study 2 (the shipped sample) publishes no descriptive statistics; the only octant M in the article is Study 1's, p. 354 — see the Finding above","not-published","source-not-identified","2026-08-07","efac537c","efac537c"
"ipipipc","M","1","HI","3.2","not-published-in-source","Study 2 (the shipped sample) publishes no descriptive statistics; the only octant M in the article is Study 1's, p. 354 — see the Finding above","not-published","source-not-identified","2026-08-07","efac537c","efac537c"
"ipipipc","M","1","JK","3.64","not-published-in-source","Study 2 (the shipped sample) publishes no descriptive statistics; the only octant M in the article is Study 1's, p. 354 — see the Finding above","not-published","source-not-identified","2026-08-07","efac537c","efac537c"
"ipipipc","M","1","LM","4.37","not-published-in-source","Study 2 (the shipped sample) publishes no descriptive statistics; the only octant M in the article is Study 1's, p. 354 — see the Finding above","not-published","source-not-identified","2026-08-07","efac537c","efac537c"
"ipipipc","M","1","NO","3.64","not-published-in-source","Study 2 (the shipped sample) publishes no descriptive statistics; the only octant M in the article is Study 1's, p. 354 — see the Finding above","not-published","source-not-identified","2026-08-07","efac537c","efac537c"
"ipipipc","SD","1","PA","0.71","not-published-in-source","Study 2 (the shipped sample) publishes no descriptive statistics; the only octant SD in the article is Study 1's, p. 354 — see the Finding above","not-published","source-not-identified","2026-08-07","efac537c","efac537c"
"ipipipc","SD","1","BC","0.69","not-published-in-source","Study 2 (the shipped sample) publishes no descriptive statistics; the only octant SD in the article is Study 1's, p. 354 — see the Finding above","not-published","source-not-identified","2026-08-07","efac537c","efac537c"
"ipipipc","SD","1","DE","0.58","not-published-in-source","Study 2 (the shipped sample) publishes no descriptive statistics; the only octant SD in the article is Study 1's, p. 354 — see the Finding above","not-published","source-not-identified","2026-08-07","efac537c","efac537c"
"ipipipc","SD","1","FG","0.79","not-published-in-source","Study 2 (the shipped sample) publishes no descriptive statistics; the only octant SD in the article is Study 1's, p. 354 — see the Finding above","not-published","source-not-identified","2026-08-07","efac537c","efac537c"
"ipipipc","SD","1","HI","0.63","not-published-in-source","Study 2 (the shipped sample) publishes no descriptive statistics; the only octant SD in the article is Study 1's, p. 354 — see the Finding above","not-published","source-not-identified","2026-08-07","efac537c","efac537c"
"ipipipc","SD","1","JK","0.58","not-published-in-source","Study 2 (the shipped sample) publishes no descriptive statistics; the only octant SD in the article is Study 1's, p. 354 — see the Finding above","not-published","source-not-identified","2026-08-07","efac537c","efac537c"
"ipipipc","SD","1","LM","0.47","not-published-in-source","Study 2 (the shipped sample) publishes no descriptive statistics; the only octant SD in the article is Study 1's, p. 354 — see the Finding above","not-published","source-not-identified","2026-08-07","efac537c","efac537c"
"ipipipc","SD","1","NO","0.78","not-published-in-source","Study 2 (the shipped sample) publishes no descriptive statistics; the only octant SD in the article is Study 1's, p. 354 — see the Finding above","not-published","source-not-identified","2026-08-07","efac537c","efac537c"
"ipipipc","Population","1","—","American college students","undergraduate students from a private Northeastern university in the Philadelphia area","p. 357, Study 2 Participants and Procedure","mismatch","intended-deviation","2026-08-07","efac537c","efac537c"
"ipipipc","Angle","—","PA","90","not-published-in-source","no assigned degree per octant is printed; degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"ipipipc","Angle","—","BC","135","not-published-in-source","no assigned degree per octant is printed; degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"ipipipc","Angle","—","DE","180","not-published-in-source","no assigned degree per octant is printed; degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"ipipipc","Angle","—","FG","225","not-published-in-source","no assigned degree per octant is printed; degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"ipipipc","Angle","—","HI","270","not-published-in-source","no assigned degree per octant is printed; degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"ipipipc","Angle","—","JK","315","not-published-in-source","no assigned degree per octant is printed; degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"ipipipc","Angle","—","LM","360","not-published-in-source","no assigned degree per octant is printed; degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"ipipipc","Angle","—","NO","45","not-published-in-source","no assigned degree per octant is printed; degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"isc","Population","1","—","American college students","mostly White college students, average age 19.14 years","p. 714, Study 1 Participants, 'The participants for this study were 1,336 mostly White college students'","mismatch","intended-deviation","2026-08-07","efac537c","efac537c"
"isc","Angle","—","PA","90","not-published-in-source","no assigned degree per octant is printed; degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"isc","Angle","—","BC","135","not-published-in-source","no assigned degree per octant is printed; degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"isc","Angle","—","DE","180","not-published-in-source","no assigned degree per octant is printed; degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"isc","Angle","—","FG","225","not-published-in-source","no assigned degree per octant is printed; degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"isc","Angle","—","HI","270","not-published-in-source","no assigned degree per octant is printed; degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"isc","Angle","—","JK","315","not-published-in-source","no assigned degree per octant is printed; degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"isc","Angle","—","LM","360","not-published-in-source","no assigned degree per octant is printed; degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"isc","Angle","—","NO","45","not-published-in-source","no assigned degree per octant is printed; degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"isc","Items","—","PA","1, 9, 17, 25, 33, 41, 49, 57","not-published-in-source","the article prints no item list — an initial pool of 151 items with seven quoted as examples, p. 714","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"isc","Items","—","BC","2, 10, 18, 26, 34, 42, 50, 58","not-published-in-source","the article prints no item list — an initial pool of 151 items with seven quoted as examples, p. 714","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"isc","Items","—","DE","3, 11, 19, 27, 35, 43, 51, 59","not-published-in-source","the article prints no item list — an initial pool of 151 items with seven quoted as examples, p. 714","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"isc","Items","—","FG","4, 12, 20, 28, 36, 44, 52, 60","not-published-in-source","the article prints no item list — an initial pool of 151 items with seven quoted as examples, p. 714","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"isc","Items","—","HI","5, 13, 21, 29, 37, 45, 53, 61","not-published-in-source","the article prints no item list — an initial pool of 151 items with seven quoted as examples, p. 714","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"isc","Items","—","JK","6, 14, 22, 30, 38, 46, 54, 62","not-published-in-source","the article prints no item list — an initial pool of 151 items with seven quoted as examples, p. 714","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"isc","Items","—","LM","7, 15, 23, 31, 39, 47, 55, 63","not-published-in-source","the article prints no item list — an initial pool of 151 items with seven quoted as examples, p. 714","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"isc","Items","—","NO","8, 16, 24, 32, 40, 48, 56, 64","not-published-in-source","the article prints no item list — an initial pool of 151 items with seven quoted as examples, p. 714","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"cais","Population","1","—","American fourth and sixth graders (aged 9 to 13)","213 students from three suburban elementary schools in the southwest United States, 125 fourth graders and 88 sixth graders, ages 9 to 13 (M = 10.7, SD = 1.08)","p. 320, Participants, 'The child sample was drawn from three suburban elementary schools in the southwest United States and consisted of 213 students (125 fourth graders and 88 sixth graders)'","mismatch","intended-deviation","2026-08-07","efac537c","efac537c"
"cais","URL","1","—","https://doi.org/10.1207/s15327752jpa8703_12","not-published-in-source","no DOI or URL is printed anywhere in the article; the shipped DOI 10.1207/s15327752jpa8703_12 follows the Erlbaum scheme and is consistent with the printed 'JOURNAL OF PERSONALITY ASSESSMENT, 87(3), 317-329' and with the file's own internal title '12sodano.vp', but the article itself prints no such string","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"cais","Population","2","—","American college students (aged 17 to 50)","194 undergraduate students from a college of education at a large southwest state university, ages 17 to 50 (M = 20.8, SD = 3.19)","p. 320, Participants, 'The adult sample consisted of 194 undergraduate students from classes in a college of education at a large southwest state university'","mismatch","intended-deviation","2026-08-07","efac537c","efac537c"
"cais","URL","2","—","https://doi.org/10.1207/s15327752jpa8703_12","not-published-in-source","no DOI or URL is printed anywhere in the article; the shipped DOI 10.1207/s15327752jpa8703_12 follows the Erlbaum scheme and is consistent with the printed 'JOURNAL OF PERSONALITY ASSESSMENT, 87(3), 317-329' and with the file's own internal title '12sodano.vp', but the article itself prints no such string","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iei","Population","1","—","American undergraduate students","1,223 U.S. undergraduates from the University of Tennessee and the University of Idaho, pooled from two subsamples of 438 and 785 after exclusions","pp. 4-5, Participants, 'Undergraduates (n = 510) attending the University of Tennessee' with 'the final sample consisted of 438 participants', and 'Undergraduates attending the University of Tennessee (n = 621) or University of Idaho (n = 268)' with 'the final sample size was 785'; the norms page calls them '1,223 U.S. undergraduate participants in Study 1'","mismatch","intended-deviation","2026-08-07","efac537c","efac537c"
"iei","Angle","—","PA","90","not-published-in-source","no assigned degree per octant is printed; the article gives 45-degree segment widths and degree-range hypotheses only, and Table 2's loadings are estimates (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iei","Angle","—","BC","135","not-published-in-source","no assigned degree per octant is printed; the article gives 45-degree segment widths and degree-range hypotheses only, and Table 2's loadings are estimates (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iei","Angle","—","DE","180","not-published-in-source","no assigned degree per octant is printed; the article gives 45-degree segment widths and degree-range hypotheses only, and Table 2's loadings are estimates (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iei","Angle","—","FG","225","not-published-in-source","no assigned degree per octant is printed; the article gives 45-degree segment widths and degree-range hypotheses only, and Table 2's loadings are estimates (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iei","Angle","—","HI","270","not-published-in-source","no assigned degree per octant is printed; the article gives 45-degree segment widths and degree-range hypotheses only, and Table 2's loadings are estimates (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iei","Angle","—","JK","315","not-published-in-source","no assigned degree per octant is printed; the article gives 45-degree segment widths and degree-range hypotheses only, and Table 2's loadings are estimates (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iei","Angle","—","LM","360","not-published-in-source","no assigned degree per octant is printed; the article gives 45-degree segment widths and degree-range hypotheses only, and Table 2's loadings are estimates (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iei","Angle","—","NO","45","not-published-in-source","no assigned degree per octant is printed; the article gives 45-degree segment widths and degree-range hypotheses only, and Table 2's loadings are estimates (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
