"instrument","field","scale","shipped","source","anchor","kind","disposition","generated","commit"
"csip","Items","BC","2, 10, 18, 26, 34, 42, 50, 58","not-published-in-source","not published in the article — items described but not numbered","not-published","not-published-in-source","2026-08-06","e4ecef4d"
"csip","Items","DE","3, 11, 19, 27, 35, 43, 51, 59","not-published-in-source","not published in the article — items described but not numbered","not-published","not-published-in-source","2026-08-06","e4ecef4d"
"csip","Items","FG","4, 12, 20, 28, 36, 44, 52, 60","not-published-in-source","not published in the article — items described but not numbered","not-published","not-published-in-source","2026-08-06","e4ecef4d"
"csip","Items","HI","5, 13, 21, 29, 37, 45, 53, 61","not-published-in-source","not published in the article — items described but not numbered","not-published","not-published-in-source","2026-08-06","e4ecef4d"
"csip","Items","JK","6, 14, 22, 30, 38, 46, 54, 62","not-published-in-source","not published in the article — items described but not numbered","not-published","not-published-in-source","2026-08-06","e4ecef4d"
"csip","Items","LM","7, 15, 23, 31, 39, 47, 55, 63","not-published-in-source","not published in the article — items described but not numbered","not-published","not-published-in-source","2026-08-06","e4ecef4d"
"csip","Items","NO","8, 16, 24, 32, 40, 48, 56, 64","not-published-in-source","not published in the article — items described but not numbered","not-published","not-published-in-source","2026-08-06","e4ecef4d"
"csip","Population","—","American college students","undergraduate students enrolled at a public university in the western United States","p. 597 text, validation-sample description","mismatch","intended-deviation","2026-08-06","e4ecef4d"
"csiv","Population","—","American college students","University of Idaho undergraduates, late 1990s and early 2000s","CSIV_Norms.html sample description (retrieved 2026-08-06)","mismatch","intended-deviation","2026-08-06","e4ecef4d"
"iitc","Angle","PA","90","not-published-in-source","not published — degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-06","e4ecef4d"
"iitc","Angle","BC","135","not-published-in-source","not published — degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-06","e4ecef4d"
"iitc","Angle","DE","180","not-published-in-source","not published — degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-06","e4ecef4d"
"iitc","Angle","FG","225","not-published-in-source","not published — degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-06","e4ecef4d"
"iitc","Angle","HI","270","not-published-in-source","not published — degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-06","e4ecef4d"
"iitc","Angle","JK","315","not-published-in-source","not published — degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-06","e4ecef4d"
"iitc","Angle","LM","360","not-published-in-source","not published — degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-06","e4ecef4d"
"iitc","Angle","NO","45","not-published-in-source","not published — degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-06","e4ecef4d"
"iitc","Items","PA","1, 9, 17, 25, 33, 41, 49, 57","not-published-in-source","not published in the article — items are in an online appendix (p. 5 text)","not-published","not-published-in-source","2026-08-06","e4ecef4d"
"iitc","Items","BC","2, 10, 18, 26, 34, 42, 50, 58","not-published-in-source","not published in the article — items are in an online appendix (p. 5 text)","not-published","not-published-in-source","2026-08-06","e4ecef4d"
"iitc","Items","DE","3, 11, 19, 27, 35, 43, 51, 59","not-published-in-source","not published in the article — items are in an online appendix (p. 5 text)","not-published","not-published-in-source","2026-08-06","e4ecef4d"
"iitc","Items","FG","4, 12, 20, 28, 36, 44, 52, 60","not-published-in-source","not published in the article — items are in an online appendix (p. 5 text)","not-published","not-published-in-source","2026-08-06","e4ecef4d"
"iitc","Items","HI","5, 13, 21, 29, 37, 45, 53, 61","not-published-in-source","not published in the article — items are in an online appendix (p. 5 text)","not-published","not-published-in-source","2026-08-06","e4ecef4d"
"iitc","Items","JK","6, 14, 22, 30, 38, 46, 54, 62","not-published-in-source","not published in the article — items are in an online appendix (p. 5 text)","not-published","not-published-in-source","2026-08-06","e4ecef4d"
"iitc","Items","LM","7, 15, 23, 31, 39, 47, 55, 63","not-published-in-source","not published in the article — items are in an online appendix (p. 5 text)","not-published","not-published-in-source","2026-08-06","e4ecef4d"
"iitc","Items","NO","8, 16, 24, 32, 40, 48, 56, 64","not-published-in-source","not published in the article — items are in an online appendix (p. 5 text)","not-published","not-published-in-source","2026-08-06","e4ecef4d"
"iitc","Population","—","American college students","undergraduate students from a psychology department subject pool","p. 3 text, 'Of the 885 undergraduate student participants' / 'psychology department subject pool'","mismatch","intended-deviation","2026-08-06","e4ecef4d"
